likert_0,likert_1,likert_2,likert_3,likert_4,likert_5,slider_0,slider_1,free_response_1,free_response_2,free_response_3,participant_id,prompt_id,condition
7,7,7,1,7,7,100,100,"I did not use any AI technology, so there is no question in my mind that this essay was mine. ",I only wrote the essay myself without any AI assistance. ,"Thanks for including me in the research, whenever possible I try to be independent and do things myself. ",66e641a57e7f41866f9e705f,a3,2
5,7,6,5,3,6,50,50,"everything said was points id made in my outline, i feel the chatbot just took my ideas and expanded on them but they were my thoughts and opinions.","i think it was pretty 50/50. the chatboy just expanded on my pre existing thoughts and said it similarly to how i would have myself. it also used a chunk of my own words, especially in the conclusion",n/a,6674a469ceb7450e9fe167f6,b2,3
7,7,7,7,7,7,100,100,I feel the essay is truly mine because I wrote it myself and it is made up of my own thoughts. I did struggle slightly as the topic is not something I know much about so had to think hard about it and consequently ran out of time. I admit this writing is not my best.,Because I wrote it myself and did not use AI as instructed during the study.,"I struggled with time and trying to think and write up to 300/250 words on this topic. I feel I could have done better if it was something I was more knowledgeable about, but out of the topic options presented to me this was the one I thought I knew more about.",677ef0198fc5d8193c009e35,b1,1
6,5,6,6,7,6,73,83,AIs input in generating the ideas takes a bit away from my creativity.,,,66116b936273edeae82eb481,b1,2
7,5,4,1,6,4,100,100,N/A,I had no assistance from AI.,No.,665cffa294d28913423afcfd,b1,1
7,6,6,1,6,7,100,100,"I felt like it was truly mine, because I came up with all of the ideas and wrote it. I only feel that it doesn't 100% reflect my voice and ideas because I always feel like that when writing to a deadline especially such an imminent deadline as due in 10 minutes. A tiny part of me always feels like if I had hours of time, no pressure, after a perfect night of sleep, in my most productive frame of mind, I could create the perfect argument that would persuade anyone that my opinion is right, and that if I am writing in less than perfect conditions, a tiny part of me will always wonder, could I have done that better. ","Because I didn't use AI. And I don't want to, its lazy and just stealing ideas from other people. AI is just regurgitating stuff it read elsewhere, you are stealing, its not helping you.","I have not written an essay format in a long time, since I was at university. I think the skill of writing a well structured essay that would get a high grade, compared to writing a report or email where you are persuading someone more senior than you to do something, are fairly different. ",563da4c4ef3f15000bb92b64,a3,1
7,6,7,7,7,6,70,90,,I wrote it from scratch only using ideas from the AI to write my own arguments,,66541be4b45de05734e7129a,a3,2
7,6,7,1,7,7,100,0,I thought and came up with the ideas myself,,,67d095bc257ecc840642912e,b2,4
2,3,3,7,3,6,40,15,"I came up with the main points, sure. However, Ai did the work of fleshing out and supporting those points. I only provided bare bones, while they packed on the rest. I felt like I should have contributed more than I did, but the time started winding down. I had to hurry up and submit the essay where it was at - still needing quite a bit of revision and personal input from me.","The ideas were my own, but what resulted from those ideas was not.","This study has thoroughly driven home the importance of transparency, in regards to whether material is written with AI support. I believe revealing this should be mandatory. I certainly wouldn't feel comfortable claiming what was submitted as my own.",6546e4c359e7f644c638df33,a3,3
7,7,7,1,7,7,100,100,I feel this essay is truly mine because it reflect my own thoughts and concerns about student debt. I wrote it in my own words using simple and honest ideas that i believe in,i attributed that percentage to myself because it was truly mine and my ideas or thoughts that I built on to write the essay in a unique way,I appreciate how the process encouraged me to organize my ideas clearly before writing. It helped me to keep this in way that feels natural and true to myself,67e8ffe90ba972b691421fcf,b3,1
7,7,7,2,7,7,95,98,"because i wrote all of it. if the ai was able to revise and restructure , sure, credit goes to where credit is due. but i used my idea, not the outline",I migthve thought about things slightly dif after reading the AI outline. but i already had the ideas and that's why i chose the essay on work life,i wish the time was longer or the ai was able to do more. was hard for me to craft an intro,65a700a7fa22d5f150d08b09,a3,2
6,6,5,1,7,7,100,92,I feel the essay is truly mine as I chose a topic that openly reflects my organizations current siruation. We work hybrid. Hence I had all the original Ideas first hand. There was a time when our employers wanted us to go back to fully on-site but rather they experienced the productivity of Hybrid to be high hence it was not intefering with the organizations productivity. The essay was easy for me because I wrote what I have experienced.,Because I remembered and typed down my own first hand experience and thoughts to the topic that I selected.,"I enjoyed being part of the study. But, It would be nice if the timer showed live on screen so we can know how fast we are typing and the time left to key down our points.",67d3ae4ba9a2595f154f14c7,a3,3
3,5,5,7,6,5,90,50,Because of the amount of AI intervention and directly including it. Kinda like copy pasting from chatgpt. this is not how i tend to use AI in writing and it was strange and felt like too much outside intervention to be called mine.,"I did not use 100% because of the level of nuance the AI provided to my ideas, and contributions of original arguments. It did more than just fleshing out my ideas in some parts.",,5d4a15309855f10015912c4b,a3,4
6,7,6,6,6,6,90,10,"I felt the essay was truly mine because I provided everything (outline) for the essay to the AI including thesis statement, the arguments and counterarguments. The AI helped with definition, providing examples and putting together extensive paragraphs and a conclusion. Overall, the brainstorming was all me",The AI used my brainstormed idea to write a full length essay so 90% was my contribution and the writing I would give 10%,no,67d43f5c7253c147df75e9e5,b1,3
4,7,7,7,7,7,99,75,"Neutral as the time constraint did not allow me to fully rewrite everything or write everything myself in the first place. It is quasi-totally mine, but as it is not fully written by me, I stand at the Neutral item in the selection as far as true personal ownership is concerned.",Because I designed everything as you can easily see starting out with the Outline.,great experience - thank you for this. Cheers!,65389f0b0f181197c4218f6d,b3,3
7,7,7,4,7,6,100,100,"I wrote them by myself without the assistant of AI, and it is a sincere contribution from my ideas.",Because it was my ideas and mine only,,67d9625169884c7fdecaf0a6,a1,2
4,6,3,3,4,3,40,70,,,,611175c06e962ff669c8fb41,b3,2
5,6,5,7,5,5,78,95,"I mostly felt the essay was mine.  I chose to see AI suggestions for the outline and the ones in favor of my position matched what was in my head.  I did not use the other suggestions.  I am also glad that the AI did not take the steps of transforming the outline into the full essay nor did it revise it.  Had that been done, it would belong to the AI and not me.","The AI did come up with outline ideas, but they matched/confirmed what I had already thought.  From there, I filled in the rest of the words without any support from AI.",All went well.  No issues.,6413bee5234ad46e9fc4ba75,a1,2
6,7,7,5,7,6,74,51,I did feel like this essay was truly mine because it was still imperfect. ,I felt like towards the end it was equal amount of work being done between myself and AI but I did like 1 percent more by writing the outline. ,No,6504c6655c2ae520567f52ff,b3,4
7,7,7,1,5,7,100,100,"I used no AI, did little planning, and essentially freestyled the entire thing.",I used no AI.,"No, but I genuinely enjoyed this!",6631e8c2d53e95056e4ac6bb,a2,2
2,6,5,7,2,6,73,31,"It was mostly written by AI, and I just changed it a little so I feel it's mainly not truly mine.","I mainly came up with the ideas in the outline, but the AI took them and made an essay out of them. ",This was interesting thank you.,662bbc5c823afb7c3a3a1629,b2,3
4,4,5,7,5,6,100,83,I feel this essay is mostly mine due to the fact that I came up with the ideas for the main points and AI just edited or assisted in clarifying them for me.,"I originally thought up the ideas for the essay. The AI assistant didn't assist with generating ideas, points or brainstorming and just edited or clarified where needed.",,5de7d7a6603b1b73f3944f8e,a3,4
5,5,6,5,7,7,100,60,"Although despite the fact that the AI in this study also helped me on this task, I still feel that it is on my idea and guidelines that it built on so I feel this essay is truly mine",I attributed that percentage of the ideas and final text because it was basically my idea that it built on to write the final text of which most were still mine. The final text reflected my ideas even though AI helped with structure and grammar.,The process is clear and easy to follow. The interface is simple and user friendly.,67a8d4209cbe02ab001f208a,a1,3
6,6,6,7,7,6,70,70,"I felt the essay was mine because it was based on my own outline and ideas, even though the AI helped with the initial draft and wording.",,,67d98fdc3119bc87d2012ac3,b2,3
4,4,3,4,5,5,78,32,"I came up with the ideas, but I didn't write it. I didn't have enough time to revise it, so the voicing and style of it really don't seem like something I would write.",,,568899d9d7848e0005399c6b,a3,3
7,7,6,1,7,7,100,100,"I did not get to use AI in this process, so it felt like it was truly mine.I would have appreciated a spelling/grammar checker for this essay, but without it I think it was more genuine. ","There was no use of AI allowed in this essay; therefore, the work was mine. ","This was a great interface, and I appreciate the word counter, as too many studies don't put that on the page. I would have appreciated a spelling/grammar checker so it seemed more coherent and professional, though! I don't think we truly own the text when we use AI to generate it. It can be argued that the text would be partially yours if you only proofread it with AI, but you would need to give the AI credit. ",6400db77211380d3116572fc,b1,1
5,6,5,7,7,5,82,87,,,,67fdd9518421c21fced4f1c1,a1,2
6,6,6,1,5,6,100,100,I wrote the whole thing so it is mine by definition. It flowed out of my mind pretty easily.,Because I didn't use AI,Let me know if you have any more tasks like this for me,5e8fb6ba9b5ff02b5150ab10,b2,2
6,7,7,1,5,6,100,100,All the ideas from the essay were generated from my ideas and my knowledge.,,,5fcca7bf6a7182b003b32a36,b2,4
6,7,6,4,7,6,100,0,"I feel this essay is my because, I wrote it with the help of AI.",N/A,N/A,67e2ec1e3ccfcc02f94d6351,a1,1
7,7,7,7,7,7,90,95,"I came up with a great amount of ideas and personal experience. Especially since I have done remote work already, I am able to speak to everything I write with facts and conviction.","The AI did help provide ideas I hadn't considered like how the office culture, and policies go. While I didn't lean to much on that idea, the support was appreciated and gave me a unique lens to view my writing.","I enjoyed the writing task! All words are out there, ownership comes down to how we contextualized and arrange those words to translate our own ideas in a way we are satisfied with.",672c74f54295206bddb0146a,a3,2
2,7,3,7,1,7,90,15,,I only wrote about that percentage of the final text and that was via editing the already present draft,"This was very easy and pleasant, and I have never really used AI to write an essay or post before so I found it eye opening",66579b7b916558ed86d82c0e,b2,3
2,5,2,6,2,4,69,0,"I felt like this essay was mine in the idea that it reflected my ideals. I really did not come up with any ideas on how to change what the AI produced though. It entirely summarized everything I was thinking, and I could not have written it better myself. ",,,66dd9c5b1c02410a87c068e5,a2,3
6,6,6,7,7,7,95,95,"It is mine because I did the bulk of the writing and reasoning, the AI tool just helped with some phrasing and prompting me to add more detailed justifications, but it did not suggest the specific content to be added. ",Because I think I did all the hard work.  The AI just made some suggestions that I had to then think about and make the edits for. ,,5c3c1728bc64440001349812,a2,4
3,5,4,5,3,6,68,23,"The language changed, I could tell it was written by AI. However, the points that were made were mine so it did run with that well.",The ideas were the ones I highlighted originally.,,65b825e9e223a35e7fa74a17,b3,3
7,7,7,1,7,7,100,100,I felt like this essay was mine because I wrote from the heart and thought of myself as a student and thought of what the pros and cons of being able to use a phone would be.,Many of the reasons I gave were me imagining being a students and thinking what I would want as a student plus most reasons i gave were common sense. ,No,62a728828075b57c01e8c1e5,a1,1
7,6,7,1,5,6,100,100,I wrote the entire piece without any influence or help from outside sources.,I didn't bother looking for the option to use AI and just continued to write it all myself.,,5cf58c09370a0800017d209d,b3,1
7,7,7,4,7,7,100,90,"I put effort into writing my personal views about genetic editing, but also got some inspirational from AI assistant to help me get started. 
Even though I have a little bit help from the AI assistant, I'm the one who form my own arguments and beliefs. ","The AI assistant gave me inspiration and ideas, but I'm the one who took those ideas to craft my arguments about the topic. I didn't directly use word for word of what the AI in the outline gave me, but rather use the information to form my own arguments to the matter. ","I give the AI assistant credit for giving me ideas to go off of, but when it came down to drafting and final revising, I'm the one who crafted it. ",607a7b7d300ce256f51706bd,b1,2
6,5,6,5,6,5,65,100,It just gave me the outline of what I should concentrate on.,"It just helped with the outline, all of the ideas were my own.",I went with the outline that aligned with my thoughts.,670032c698d32e9dba5e5fc0,a2,2
2,1,2,2,7,1,68,2,N/A,N/A,N/A,67f3078347506a49d499c545,a3,2
7,7,7,1,7,7,100,100,"I felt the essay was completely written by me because I refrained from using any outside help, including not using AI.  I'm proud of the fact that I thought hard about what I wanted to get across in the essay, in my own words, without having to rely on some machine to help me.",All of my thoughts and feelings about the topic were genuine and from my heart.  ,"It makes me feel comfortable knowing that what is written in the essay is all my words, all thoughts and reflections that I wrote, and not written by AI.  It gives me a sense of accomplishment and pride in my work.  ",61219fd8387ca59d07e0dc1c,b1,1
7,7,4,1,7,7,100,100,"Within a limited time frame, help from AI actually became a disadvantage for me personally, because it would interfere with the flow of my own thoughts. I did not have time to go back and forth between assitance and my own instinctive ideas. So I decided to just write it with my own flow, knowing that each pause or doubt was stopping me from completing the task. ","Because I did not decide to use AI knowing with limited time frame, it would only slow me down after already commiting to my own ideas. ","I would like to acknowledge that I did have an accidental advantage in this writing task. I actually spoke about a very similar topic with a teacher very recently, so this subject and some ideas were already fresh in my mind. ",6393ebe98d06bc1ea32c873e,a1,2
7,6,6,2,7,6,93,94,"I was guided by the AI, but I generated the argument and fashioned it using my skills","I did all the typing and thinking; while AI opened my mind and made it easy for me to think through the writing, (so I attribute some input to AI) I did the most thinking.",A bit confused at first whether the platform will flow as it did or not,67c4bca8b11a897ba41184ae,a1,2
5,3,6,3,4,2,85,85,,,,60e5fa452bd56bda03990e27,b3,2
5,6,7,7,6,7,61,31,I felt the essay was mind as I outlined the context and arguments presented in the text that allowed AI to expand upon it. I was also given the opportunity to edit/change the text  ,I feel AI used what I wanted to projected into a better structured text. Providing stronger arguments and strengthening my points,,65ddeb426c748b12456eed89,a3,3
1,4,7,7,5,7,81,3,"I did not write the essay, I simply provided the argument points. ","I provided the ideas, but not the text.",No,61310222247b6dcdfd39bddf,b3,3
5,4,3,6,5,6,90,67,"I feel like my essay counts as ""AI-assisted"". It essentially took down my main points and transformed them into a cohesive draft. From there, I went line-by-line and edited or further expanded what the AI wrote to make it align more with what I wanted to convey through the writing.",,,62c66498e5b6da32be94c7e6,a3,3
4,6,5,4,5,6,75,50,"The actual words were not mine and I feel that written style is important, but the arguments and ideas came from me and my outline. ","I could clearly see the ideas came from my outline, but as far as the actual words on the screen, these were mostly put together by AI.",Nothing comes to mind!,63e51bdade16b861346088b4,b3,3
5,5,5,7,5,6,90,40,,,,56b8de29e1d0a200051517f8,a2,3
7,7,7,5,7,7,100,100,The outline's ideas were already in my head.,,,592a6246e1b21500015924ec,a1,2
6,6,7,7,7,7,90,95,The main points were taken from the outline that I wrote. The AI assistance provided numbers to the statistics.  ,"The AI provided the details such as numbers, statistics, and potential other financial schemes. However, it was my own thoughts that were the source of the questions that formed the questions the AI found details for. ",,5ff5ca8cd0b2850877119272,b3,3
4,5,4,7,5,6,53,47,"I gave the prompt and I was able to tweak it. However, the AI did word things in some ways that I kept because I liked it, but it wasn’t how I may have said it.","I feel like the writing itself gets a little more credit than me writing the outline and editing. That said, they’re all important parts of the writing process.",N/A,5be9ce784f251d00015ce92e,a2,3
7,7,7,1,6,7,100,100,I felt it was mine because it was my ideas and had no use of AI.,Because I wrote this on my own based on my own experience and what is going on around the world. ,No.  ,66323f16b05df4403391861c,a1,1
4,3,6,6,4,6,70,20,"While I gave an outline that reflected my own prioritization of ideas, the core writing was done by the AI tool. If this were a high-stakes essay that I had considerable class time for, I would do a lot more heavy re-writing myself. It feels more like a collaborative effort between me and the AI, in my opinion.",,,61338374ecef87bfdfd1c7bb,b2,3
7,7,7,1,7,7,100,100,,,,62a89318448a8592fc88ee03,b3,1
6,6,6,6,5,6,100,100,,,,6669d0b650f615804a4d534f,b1,1
3,5,5,6,3,7,80,20,"While the main ideas for the essay were mine, most of the words were produced by the AI.","The ideas were mostly mine, but the actual words of the essay primarily came from the AI itself.",,630981b0f861918e8174a43e,a3,3
6,7,3,7,6,7,90,25,I feel that the ideas were mine.  The AI helped to package my ideas into a more organized and more structured format that I could communicate with others.,I feel that the large majority of the ideas were mine as documented in the outline.  I feel that the final text was primarily from the AI but representing some word changes and choices that I introduced.,I enjoyed the writing task as I thought that the AI did a nice job of converting my ideas into coherent text.,558a327cfdf99b2d75651681,b3,3
7,6,6,1,6,5,90,98,"Because I wrote the whole thing. I got a couple of hints as to points that I could make but I chose whether to make those points or not, and even the ones I had not thought of I probably would have given a few more minutes. ","Because I wrote the whole thing. I may have used a few words in an order suggested by the helper, but nothing beyond a few words in a particular sequence. The ideas expressed were mine. ",,6697cf02d714e7ee3fdedcec,a3,2
4,5,4,6,6,6,80,60,,,,677b8e386966144d94556597,a1,3
2,5,2,6,4,5,81,10,"Although the ideas were my own, the bulk of the word count was fulfilled by the AI and doesn't really feel as if it is writing in my own style and voice. ","It would not have been able to necessarily flesh out the text if not for the prompt ideas that I provided, but the vast majority of the sentence structure was arranged by the AI",N/A,6658c03719546bf4a7e548d8,a2,3
6,6,6,3,6,5,85,95,The AI used during the planning phase helped me slightly phrase one of my arguments. ,"The AI assistant helped in aprt with one of the three arguments in the essay. All the writing revisons, and the bulk of the ideas were written and thought of by myself. ",,676afbdcf204d0ab9df03494,a1,2
3,2,2,7,3,7,100,63,I do not feel the essay is truly mine because I got the support of AI assistant,"All the ideas are from me, but the word choices are not entirely mine",No,67ef53cadb2da106db5e5705,b2,3
7,7,7,7,7,7,100,100,I have read a lot about this topic and I found it easy to freely write about this issue.,The text and ideas that I came up with are all those beliefs and ideas that I held and felt it was worth a 100% score.,I enjoyed writing about this topic,675d960e0a56f4fd3189d1b3,b3,1
4,4,7,7,7,7,70,30,I somehow feel it was mine since almost everything I had in mind was generated by the AI but it was also a good thing that the AI took part.,,,67e830b647b5346d37e9bc11,b3,3
3,6,2,7,4,4,35,30,,The AI expounded on all of my arguments.,,614e6f4f00a9e94b123316d3,a1,3
2,3,2,7,2,6,40,40,I ran out of time and had to lean on the AI for a big chunk of it.,"I wrote about half of it, but I did borrow a line from the AI in the second paragraph.",,5a0a7bc6ff266c0001d2009d,b3,3
7,7,7,1,7,7,100,100,The essay was truly mine because it shares my feelings and I was the only one that contributed to the information provided and the points made.,I used no outside help.,,66312361cf5d4099e1330532,a1,1
4,6,4,7,3,6,85,50,"Because I came up with the skeleton ideas and the AI fleshed them out, so perhaps more of an equal effort. Though if I had more time, I would've made more revisions, which would've made it feel more mine.","Because the ideas in the text were mine but the AI saved me the time of finding the stats and examples that I wanted. And then the final text, all my core ideas with the fleshing out of examples and better writing than I could come up with in the time allotted, or perhaps even in general with all the time in the world.","I think we'll be grappling with this issue for some time to come. Since AI has taken over much of my work, of course, I'm conflicted over it but see AI as an overall benefit if humanity can harness it properly to address the critical issues of our time.",5f4fb5c0ad48ba0ab9a454e5,a1,3
7,7,7,1,6,6,100,100,"Because I wrote it. It is not very good, but I guess it was not bad given that it was in such a short time. Not something I would ever turn in though. ",Because I did all of it and did not use AI. ,,63d1b680be452fa711f77f60,a1,1
4,4,5,6,7,7,50,50,I wrote it but AI made it better.,Because i added in the parts that AI suggested to me. ,,6658b6838e28e3383feae335,b1,4
7,7,7,4,5,7,95,94,,,,646ff124ef129159bf5f08f7,b3,4
7,7,7,1,7,7,100,100,"I  feel this was 100% mine because I developed the outline, drafts and revision without any help. The final output represents my raw thoughts and opinions.",,,67e0870d582edce0a2764d1f,b2,1
6,6,7,1,7,7,85,100,"The AI gave me an outline and some inspiration, but it did not give me any of my arguments, or write any of my content. It did not draft or fix anything. It is all mine.",,,58d62c1733fef30001189b75,b1,2
6,7,7,1,7,7,100,100,,,,5cb62e9293342300017a72a1,a3,2
7,7,7,1,7,7,100,100,"It is mine. I graduated college with over $100,000 in debt and have unfortunately never made it much above minimum wage. I'm nearly 40 and still crushed under the weight of student debt. That very debt caused me severe depression which has lasted decades now as I push into middle age. I have not contributed to society and never had time to even consider it because the light that was me was completely taken from me by crooked, evil bankers. What they are doing is called usury, and it's destroying our civilization, metastasizing like cancer infecting all of us. You can surely correlate the rot in our society with the increase in loan debt because most of us are angry and destroyed by the so called useful student loans. ","These thoughts all came from me.. not an AI. These are my real experiences and my real feelings. I also have a degree in Accounting and Finance from a major university, so I'd like to think my views are somewhat rooted in reality, even though I'm useless to society.","Not really. I tried to lay my feelings and emotions bare here, student loans make me sick. I realize this study is about the use of AI in writing, but whatever, I tried my best.

Much love.",67912aea114797f20483bc08,b3,1
7,7,7,1,7,7,100,100,"I wrote it entirely on my own, with zero help or input from AI. They were my own ideas and my own writing. ","Because I didn't use or even have any access to AI while writing my essay. It is entirely my own--from the brainstorming, writing, and editing phase I did it with no help. ",It's mine entirely; I don't understand why I'm being asked about AI when it was strictly forbidden and I didn't use it at all. ,651f877f99a86ed3d73471c5,a3,1
7,7,7,4,7,7,100,100,"I felt like this essay was mine because I didn't use the AI tools. I feel passionately about this issue, and I chose it because it is something I can answer while focusing on both emotion and logic. All the ideas were my own, and I feel proud of that. ",I didn't use the AI option on the right and just revised my own ideas and came up with the outline and arguments on my own.,"I don't think so. I enjoyed writing this essay, and I like thinking about arguments and trying to craft a compelling persuasive essay. ",66c0df311f98d7c9661669d9,b3,2
4,5,6,7,5,6,60,35,"I felt that the overall points I wished to cover in the essay were mine, as well as most of the structure. However, the writing style was predominately decided by AI, as I felt that few modifications were necessary except to create a slightly more intriguing introduction to the essay.","The AI was writing based on the ideas I introduced in the outline stage. However, the flesh of the text was provided mostly by AI, with the only major modifications being to the introduction to the essay.","I would be interested to see if the AI would come up with a similar or different essay if not provided with the outline and only the essay topic. It seemed that the AI was following my outline, but I wonder if it would have produced a similar essay absent of this.This would affect my opinion on how much of the essay was mine vs the AI's.",675b41e1b943026fc6b83379,b1,3
7,7,7,1,7,7,100,100,I came up with all the relevant points of my essay and then I used them to write the final draft. I had no help in the initial draft nor the final essay - it was all my own work.,"As I said earlier, I had no help formulating the points I made, nor did I have any help writing the final essay.",I liked the interface of me putting down the main points at the start and then allowing a revision of my first draft to get a better quality final essay.,67fffee26ec983c07f3a2abd,a3,1
7,7,7,1,7,7,100,100,"As instructed, I did not use any AI","As instructed, I did not use any AI","As instructed, I did not use any AI",62733b8ee687326d23d970ea,a3,1
5,6,6,6,6,7,70,65,"Because even though I put the foundations down, AI helped and added more information so I could incorporate it with my ideas.",Because I included some of the text and ideas that AI gave me as corrections.,NA,64136650748e4e17c18e1900,b1,4
4,5,4,7,5,4,55,85,About half of the points were mine and half of them were either introduced by the AI or I remember from the AI. ,"I had no help for the text portions of the process, but I did implement ideas from the outline, so it's not fully to my credit. I asked for the ideas from the outset, so much of that credit goes to the AI. ",,5bf0b1ecaf38d100016bd609,a3,2
7,7,7,1,7,7,100,100,This was truly mine because all the points for the argument were from me and my opinions alone.,,,6674d22663a406047c933cb0,a3,1
6,6,7,2,6,6,100,100,,,,663e30d90403a7b041965a81,b1,2
6,7,6,2,7,6,97,93,"It is definitely mine, the AI recommend some tweaks - and I did accept some. But it reads pretty much the same as my original",Because all the AI did was highlight a few (probably debating) grammatical points,None,5eac39578621a7067ae955eb,a3,4
7,7,7,2,7,6,91,90,I first drafted my own opinions then later compared with what AI recommended and I made a personal decision of either accepting AI recommendation or not,I took my time to think and draft my opinions AI assisted in structuring the flow,"No comment, the survey was okay",67f22d9adc313d0ce5eafff4,a1,2
6,6,6,1,5,7,98,98,It is a topic recently discussed in my own school district and I agree with. I wrote it from memory of some articles I recently read about the benefits and from conversations with my own teacher friends. ,I came up with the ideas and thoughts on my own. 2% because the survey helped me see my outline and keep my draft so I can finalize it. ,If this survey were to use AI to help in writing this essay after my final submission I would be curious to see what it would change. ,674b1543144567181e0b91dd,a1,1
7,7,7,1,7,7,100,100,The essay was mine. I did not use AI tools to write it.,I did not use AI tools.,,5ef07f0ba383185b3570273e,a1,1
7,7,7,1,7,7,90,95,,,,67e1c1545703160cb768ca81,b2,2
5,6,6,6,2,7,90,40,I felt this essay was truly mine because it stuck to my key arguments and only expounded on them and organized the ideas into a proper essay structure.,"The ideas are evidently mine, and the AI merely broadens the perspectives shared in the outline. However, I must admit that the final text greatly benefits from the AI's content generation and paper structure. ",None,66a09fe785573924735fc76f,a3,3
7,7,7,1,7,7,100,100,I fully used my imagination to deliver the task.,100%,The whole process was easy and clear.,65c10fc4bfa12f9fbcfda656,a3,1
5,6,6,7,6,6,85,90,"Because it was assisted by AI, although I overlooked it and the arguments were mine, it was helped by AI, therefore not truly mine","Because the wording was like how I would, and although AI wrote it first initially, it was published by myself and I had the final decision whether to edit it or not",N/a,66cde7c1776904d08cb84fda,b2,3
7,7,7,7,7,7,50,80,,,,652be55d3d99a68b56fe7d56,b2,2
7,7,7,1,7,7,100,100,I felt like it was mine because I did not use AI at any point in the process.,"I was asked to outline, draft, and edit it. I did not need AI to do something I've been doing since public school.",AI writing is not real human writing. Those who use it for creative writing should be ashamed. If it's for technical writing I understand it more.,6287f4819c5fc8c4d48cc885,a1,1
3,5,3,6,4,7,90,19,"I felt that this essay was mine but not to a huge extent. The reason for this is that having written four separate brief arguments my points were then drafted into an essay for me by AI. I felt it was very well written but it wasn't me that had written it. For example, with my outline, I simply made four points that i felt were relevant. I didn't write either an introduction or a conclusion. I'd like to think that I'd have been very capable of doing this but the fact it this wasn't my work and to rewrite it completely in my words would have taken a lot longer than the allocated time for the task. On top of that, having seen how AI had arranged my ideas it would have been incredibly difficult to have rewritten this and not at the very least have on a subconscious level have lifted some of the ideas and actually why wouldn't I have wanted to either? A lot of it was very well written!","The ideas were very largely mine.  In fact, they were all mine. AI put them into full sentences and by doing so was able to build on my initial ideas to make them more compelling but the ideas did come from me.

The percentage of the text was so low was because quite frankly AI did such a good job it didn't really need much by way of alteration! on top of that, given the time constraints of a 10 minute task, i simply wouldn't have had time to think about how to structure each paragraph and then write compelling, persuasive arguments for each point.","Not really, other than to say that i would struggle to truly identify myself as the author of this text. I suppled the nuts and bolts so to speak, but it was AI that put it together!",5dc71b96d210e45213e92359,a1,3
7,7,7,1,6,7,100,100,"I wrote this entirely from my own thoughts, in my own words. I did not use any form of AI or search engine support. ",Because I used no AI support,,5c2e322b86f8be000162051d,a3,1
7,7,4,1,6,7,100,100,"It's truly my essay because I wrote it! I came up with every point, and I composed every sentence, for better or for worse. My understanding is that I was not supposed to use AI?",I did not use any AI assistant for this task at any point.,"I felt pressured and rushed, and I did not like that. It's imperfection proves my assertion that I composed all of it.",6598524eff590951e558a42f,a1,1
6,7,7,5,7,7,90,80,"I feel like it is truly mine because, overall, the inception of the content within it are my original thoughts and any recommendations generated by AI are a direct result of my inputs. If I had not written my draft the way I did, I would not have received the same suggestions. It still fully follows my train of thought, it's simply improved to get my point across better.","Because the ideas are overall still in tact and fully mine... AI just expanded on the direction I was already going. Same for final text... I believe about 20% of the essay was replaced by AI, but most of it only expanded on my points, offered suggestions for being understanding of the other side, or were grammatical corrections.","This was really fun - thank you for allowing me to participate! I loved the interface - it is very similar to how I use chatGPT, but without the extra step of having to move back-and-forth between different programs. I've always held the view that, as long as what AI generates isn't direct and blatant plagiarism, the authorship and ownership of the text should go to the person who hand-picked the AI generated elements to include.",5d23d88ba60539001ba16192,b1,4
7,7,7,1,6,4,99,99,"The essay was mine because I hardly used AI input. I singularly used AI input to phrase ""genetic modification"" or ""genetic editing"" because there are a great number of terms that could be used to describe the issue. Everything else surrounded my individual thoughts. I did, however, skip over some ideas that could enhance the essay and instead fixated upon a narrowed stream of ideas that are still thorough in their approach. Regardless, the essay was entirely mine.","The AI singularly contributed in phrasing ""genetic modification"" and ""genetic editing""--I thought and wrote of everything else.",,66823a439b3e59a13b37a28f,b1,2
4,4,5,4,4,5,75,75,,,,66467f5703bc98ffca9a248c,a1,2
4,5,5,5,5,5,82,59,"The AI assistant added a number of points that I wasn't aware of or hadn't thought of, such as the mention of cystic fibrosis. It added some authoritative grammar improvements and added a more professional feeling to what I'd stated. I feel it also provided a more well-rounded and completed feeling to my essay. 

The major points in the essay were my own, but I feel that the AI did more than just add the finishing touches.","I feel like the major ideas in my arguments for genetic intervention were still the major points in the AI-assisted essay, but the AI did add more specifics by suggesting diseases like cystic fibrosis. 

A lot of the text I'd written still seemed to be present on the AI's first draft, however the AI did add one or two paragraphs of its own, and it did add a more professional approach to some of the words I'd written. The AI also provided some polish to my grammar.","I did wonder whether I needed to really edit the AI's essay myself at all - it wasn't very clear whether I needed to or not, but the interface stated that I needed to make revisions. Even if that statement wasn't the case and I was doing this for real outside of this study, I think I would quite likely make a few tweaks to the AI's essay just to add a bit more ownership to it - I'd feel like I'd want to do that so I effectively have the final word.",5e7b779563c6dc05953e3669,b1,3
7,5,5,7,7,7,77,73,,,,6717b21c1e82990c9080d9bc,b3,4
